price,ratings,pagenum,originalprice,discount,brand,processor,rear_camera_mp,front_camera_mp,phone_warranty_category,box_warranty_category,battery_m_ah,display_inches,ram,storage
8999,4.2,9,10999,18%,Ai,T8200 Processor,50MP,5MP,1 Year,1 Year,5000,6.745,6,128
1677,4.1,9,2099,20%,LAVA,Dimensity 6300 Processor,50MP,0MP,1 Year,1 Year,2575,2.8,32,32
54900,4.6,24,32999,21%,Apple,A15 Bionic Chip,50MP,12MP,1 Year,1 Year,5500,6.1,128,0
25999,4.6,10,32999,21%,realme,Dimensity 7400 Ultra Processor,50MP,50MP + 8MP,1 Year,1 Year,10001,6.8,8,128
29999,4.5,10,32999,9%,Nothing,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,5000,6.7,8,128
64900,4.6,17,69900,7%,Apple,A16 Bionic Chip,50MP,12MP,1 Year,1 Year,5500,6.1,256,0
29999,4.3,10,36999,18%,MOTOROLA,Dimensity 8350 Processor,50MP,50MP + 50MP + 10MP,1 Year,1 Year,6000,6.7,8,256
1259,3.7,10,1599,21%,Nokia,SC6531E Processor,50MP,0MP,Up to 6 Months,Up to 6 Months,1000,1.77,8,0
12029,4.2,10,13999,14%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,6000,6.74,4,128
13354,4.3,10,14999,10%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,6000,6.74,6,128
975,4.0,10,1599,39%,MOTOROLA,Dimensity 6300 Processor,50MP,50MP,1 Year,1 Year,5500,1.8,3,64
35999,4.4,10,37999,5%,POCO,Dimensity 6300 Processor,50MP,50MP,1 Year,1 Year,7550,6.83,12,512
10382,4.3,10,11999,13%,REDMI,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,5160,6.88,4,128
9782,4.3,10,10999,11%,REDMI,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,5160,6.88,4,64
8999,4.2,10,10999,18%,Ai,T8200 Processor,50MP,5MP,1 Year,1 Year,5000,6.745,6,128
